year,month,port_label,n_stocks
2011,10,MOM_BM_4_3,26
2011,10,MOM_BM_4_4,36
2011,10,MOM_BM_4_5,44
2011,10,MOM_BM_5_1,43
2011,10,MOM_BM_5_2,30
2011,10,MOM_BM_5_3,24
2011,10,MOM_BM_5_4,23
2011,10,MOM_BM_5_5,33
2011,10,MOM_Q1,76
2011,10,MOM_Q10,77
2011,10,MOM_Q2,77
2011,10,MOM_Q3,76
2011,10,MOM_Q4,77
2011,10,MOM_Q5,76
2011,10,MOM_Q6,77
2011,10,MOM_Q7,76
2011,10,MOM_Q8,77
2011,10,MOM_Q9,76
2011,11,BASIS_Q1,181
2011,11,BASIS_Q2,100
2011,11,BASIS_Q3,381
2011,11,BASIS_Q4,61
2011,11,BASIS_Q5,56
2011,11,BM_BASIS_1_1,36
2011,11,BM_BASIS_1_2,101
2011,11,BM_BASIS_1_3,18
2011,11,BM_BASIS_2_1,62
2011,11,BM_BASIS_2_2,74
2011,11,BM_BASIS_2_3,20
2011,11,BM_BASIS_3_1,61
2011,11,BM_BASIS_3_2,63
2011,11,BM_BASIS_3_3,32
2011,11,BM_BASIS_4_1,66
2011,11,BM_BASIS_4_2,64
2011,11,BM_BASIS_4_3,26
2011,11,BM_BASIS_5_1,56
2011,11,BM_BASIS_5_2,74
2011,11,BM_BASIS_5_3,26
2011,11,BM_HP_1_1,40
2011,11,BM_HP_1_2,100
2011,11,BM_HP_1_3,15
2011,11,BM_HP_2_1,51
2011,11,BM_HP_2_2,68
2011,11,BM_HP_2_3,37
2011,11,BM_HP_3_1,70
2011,11,BM_HP_3_2,58
2011,11,BM_HP_3_3,28
2011,11,BM_HP_4_1,63
2011,11,BM_HP_4_2,57
2011,11,BM_HP_4_3,36
2011,11,BM_HP_5_1,66
2011,11,BM_HP_5_2,69
2011,11,BM_HP_5_3,21
2011,11,BM_Q1,77
2011,11,BM_Q10,78
2011,11,BM_Q2,78
2011,11,BM_Q3,78
2011,11,BM_Q4,78
2011,11,BM_Q5,78
2011,11,BM_Q6,78
2011,11,BM_Q7,78
2011,11,BM_Q8,78
2011,11,BM_Q9,78
2011,11,HP_MOM_1_1,49
2011,11,HP_MOM_1_2,53
2011,11,HP_MOM_1_3,56
2011,11,HP_MOM_1_4,63
2011,11,HP_MOM_1_5,62
2011,11,HP_MOM_2_1,78
2011,11,HP_MOM_2_2,58
2011,11,HP_MOM_2_3,67
2011,11,HP_MOM_2_4,70
