date,xi_bear_p1,xi_bull_p1,xi_bear_p2,xi_bull_p2,bear_p1,bear_p2,bear_mst,adbear
2007-06,0.9998345434380664,0.00016545656193355372,6.327353952159517e-20,1.0,1,0,0,-0.369289641
2007-07,4.1758028057180244e-33,1.0,5.72419961699555e-06,0.999994275800383,0,0,1,0.170922571
2007-08,3.971088915893086e-15,0.9999999999999961,1.1202736505508593e-15,0.9999999999999988,0,0,1,1.794778033
2007-09,4.280105593987323e-21,1.0,8.7538941331807e-11,0.999999999912461,0,0,0,-0.168063548
2007-10,3.804247878105869e-16,0.9999999999999997,3.6878759560137106e-05,0.99996312124044,0,0,0,-1.440214684
2007-11,6.03516720109983e-39,1.0,0.9999999998110148,1.8898513425574484e-10,0,1,1,0.779228304
2007-12,2.021400917551671e-39,1.0,1.0,1.979468384833737e-17,0,1,0,-0.282411619
2008-01,7.709168070874685e-34,1.0,1.566676598824864e-24,1.0,0,0,1,1.44067846
2008-02,2.51474859563033e-30,1.0,1.0,1.579132855460229e-23,0,1,1,0.563224538
2008-03,2.5103608626235968e-17,1.0,1.2604449719186309e-05,0.9999873955502808,0,0,1,0.331992606
2008-04,6.521178601254972e-63,1.0,1.0,1.0999741103585688e-36,0,1,0,-1.07272704
2008-05,4.186624730699957e-18,1.0,1.924694654940111e-07,0.9999998075305345,0,0,0,-1.259140082
2008-06,0.9999999999999997,3.5321834062718125e-16,0.9999999999998043,1.9567047869169792e-13,1,1,1,0.251980238
2008-07,1.0,4.0401495441519063e-53,1.0,1.8100762453809905e-106,1,1,1,1.426167714
2008-08,6.709630801916865e-29,1.0,0.9999999999954821,4.517964957536289e-12,0,1,0,-0.778730955
2008-09,1.0482764880036085e-64,1.0,1.0,7.266303567857243e-31,0,1,0,-0.037270862
2008-10,0.0,1.0,1.0,1.251053621403304e-167,0,1,1,3.055520381
2008-11,2.6178800408290427e-161,1.0,1.0,7.378584222180889e-60,0,1,1,1.333282686
2008-12,4.530267499464621e-149,1.0,1.0,9.536915112297225e-77,0,1,1,0.872720173
2009-01,4.4794226782149643e-60,1.0,1.0,6.753055339734014e-20,0,1,0,-1.519138543
2009-02,2.937089901314786e-73,1.0,1.0,7.070008097644856e-34,0,1,1,0.3683971
2009-03,9.644008525595512e-103,1.0,1.0,9.65260583729582e-69,0,1,1,2.011463158
2009-04,8.845177035708445e-250,1.0,1.6178527920556107e-40,1.0,0,0,0,-1.687437591
2009-05,1.6485020595829644e-75,1.0,1.0,1.2204060530734751e-36,0,1,0,-1.590785781
2009-06,1.5231159605363547e-51,1.0,0.9999999994129427,5.870572922976576e-10,0,1,0,-1.14930135
2009-07,2.3568390507974256e-22,1.0,1.1279411261962213e-10,0.9999999998872058,0,0,1,0.313121818
2009-08,5.915276842401606e-13,0.9999999999994085,8.523168923791574e-18,1.0,0,0,0,-1.746728
2009-09,3.6318221579055107e-25,1.0,6.125347778418868e-10,0.9999999993874652,0,0,0,-0.487326214
2009-10,1.854312990010985e-43,1.0,0.9445708890267629,0.05542911097323707,0,1,0,-0.829513838
2009-11,6.153809661854981e-20,1.0,8.7734111143479e-16,0.9999999999999991,0,0,0,-0.099638936
2009-12,0.999999999999263,7.369983523126585e-13,0.9888750841833044,0.011124915816695528,1,1,0,-1.47450265
2010-01,0.9999999999705208,2.9479158396133354e-11,9.2237536594397e-17,0.9999999999999999,1,0,0,-1.514384636
2010-02,0.9999990793093969,9.206906030537207e-07,2.2286300705850413e-14,0.9999999999999778,1,0,1,1.320539553
2010-03,5.339553649230528e-43,1.0,2.7905886343422066e-07,0.9999997209411365,0,0,0,-1.174715053
2010-04,3.8860741823522615e-29,1.0,0.9766412433086978,0.023358756691302152,0,1,0,-1.74358887
2010-05,3.373256889428404e-22,1.0,2.712709130617361e-21,1.0,0,0,1,1.669016668
2010-06,4.1177576474150513e-10,0.9999999995882243,3.230124775076148e-06,0.9999967698752249,0,0,1,0.9826326
2010-07,1.2381394070469005e-11,0.9999999999876186,3.264316435281847e-14,0.9999999999999672,0,0,1,0.755380136
2010-08,0.9999999997911562,2.0884379759019328e-10,4.1148038892251735e-13,0.9999999999995886,1,0,0,-1.537959681
2010-09,2.925713359763023e-25,1.0,0.9999999436039783,5.63960217624638e-08,0,1,1,0.156748864
