date,xi_bear_p1,xi_bear_p2,xi_bear_p3,xi_bear_p4,bear_mst
2012-02,0.001377312262881387,0.00763218480426393,0.04810675115562,0.014547832533994167,0
2012-03,2.0026643009012867e-06,3.8478258053544266e-08,0.01734159927731714,2.4140367768407577e-10,0
2012-04,8.533056034010964e-07,1.2169430780684794e-06,0.021110702976618864,0.02419958221472591,1
2012-05,1.178888701354446e-13,3.772485479630534e-05,0.9999988899549084,0.9999426415914257,1
2012-06,9.68696182620667e-05,0.003155166070547159,0.9990653831163564,0.9999962213414897,0
2012-07,2.9698901906897234e-10,2.2769365450055832e-05,2.105729052413841e-07,0.9999352429338882,0
2012-08,8.26437825428949e-06,4.588945020064382e-05,0.8646375508576388,0.9441674125537927,0
2012-09,1.0377733739676557e-08,1.0812773483134758e-07,0.0016636586949985931,2.697748538986841e-06,0
2012-10,1.5187567841671936e-06,7.884533562161407e-07,0.2920022970799008,0.024877018450615202,1
2012-11,3.2891384842009775e-05,1.2003378571441241e-05,0.6683149213651132,0.08711264372922872,0
2012-12,2.3721102041366835e-06,2.1002303532480244e-05,0.9964007695937902,0.9619560974739886,0
2013-01,3.2959788576344815e-05,0.00036251858150736867,0.28683765833050945,0.5139027859368718,0
2013-02,3.3327589288840554e-07,6.988331504821863e-06,0.09394895811347537,0.07938076123709827,0
2013-03,5.905400635320416e-05,0.001035338818173305,0.19384976454583444,0.8260312061901723,0
2013-04,3.5431805501905707e-06,1.1552402013164573e-05,0.9943180315859653,0.0029782296300363722,0
2013-05,0.0006047872306398301,1.6818942343906524e-05,0.9409780896069234,0.13192753352472256,0
2013-06,4.381310495997401e-05,1.7158983860028962e-06,0.9997822282092762,2.152500816392259e-08,0
2013-07,3.35967677050908e-09,0.00031648955920070846,0.0003102082742196481,0.24090051082010877,0
2013-08,0.000294386317161507,0.11507127429102773,0.9293631224195861,0.8639999755488706,1
2013-09,0.0028166154026497197,0.8152006381772856,0.9747846003036021,0.2634158361281525,0
2013-10,6.523249782980646e-05,0.0020301978264396685,0.027786214809561928,0.2389419929964839,0
2013-11,0.0003790615867996045,0.0006400054516315408,0.2761507188074788,0.017202269147889297,0
